question,answer,image_id
what colors are the writings on the whiteboard,The whiteboard writings are in red and black.,image33
how many mugs are on the table in front of the wall,There is one mug on the table in front of the wall.,image42
what color is the whole circle on the whiteboard,The entire circle on the whiteboard is green.,image42
what is behind the whiteboard on the gray part of the wall,".



An electrical outlet is behind the whiteboard on the gray part of the wall.",image42
how many toothbrushes are in toothbrush holder,There are two toothbrushes in the toothbrush holder.,image44
how many frames are reflected in the mirror,Two frames are reflected in the mirror.,image44
what is the white object between the bathroom basin and the door,The white object between the bathroom basin and the door is a toilet.,image44
what is in front of red bag on the bathroom basin,A hair brush.,image44
what is the white object in front of the window on the left side of the fan coil,The white object in front of the window on the left side of the fan coil is a lamp shade.,image50
what color is the flower on the top pf the fan coil,The flower on the top of the fan coil is purple.,image50
how many frames are in this picture on the windowsill but not on the side table,One frame.,image50
what is between two dark brown and beige couches,A bookshelf sits between two dark brown and beige couches.,image51
what is the colorful object on the arm of the beige couch,The colorful object draped on the arm of the beige couch is a blanket.,image51
what is the largest yellow and white object in this picture,"pillow



 The largest yellow and white object in this picture is a pillow.",image51
how many pictures are above the dark brown couch on the right side of the bookshelf,"The number of pictures positioned above the dark brown couch, specifically on the right side of the bookshelf, is two.",image51
what is on the floor on the left side of the wardrobe door,Headphone,image59
what are in the wardrobe on the right side of the picture,The right side of the wardrobe in the picture contains shirts hanging on hangers.,image59
what color is the basketball hoop above the computer chair,The basketball hoop above the computer chair is red and white.,image59
what is the brown wooden object behind the flat screen in front of the wall,That's a dresser.,image63
what is between the dresser and the desk on the floor,Cables are lying on the floor between the dresser and the desk.,image63
what color is the desk drawer on the left side of the dresser,The desk drawer on the left side of the dresser is white in color.,image63
how many bottles of water are on the night stand,There is one bottle of water on the nightstand.,image73
what color is the bedside lamp behind the bottle of water,The bedside lamp behind the bottle of water is black.,image73
what is below the blanket and pillows on the left side of the night stand,The mattress is what's below the blanket and pillows on the left side of the nightstand.,image73
what are the white objects on the mattress,The white objects on the mattress are a blanket and a pillow.,image73
what color is the lamp shade on the night stand on the left side of the bed,The lamp shade on the night stand on the left side of the bed is brown.,image76
what is the largest dark brown object in this picture,The largest dark brown object in the picture is the blinds.,image76
what is the gray object on the mattress below the blanket,The gray object on the mattress below the blanket is a pillow.,image76
what color is the bedhead in this picture,The bedhead is brown.,image76
what is on the wall above the night stand,A picture is on the wall above the night stand.,image76
what color is the frame on the wall above the desk,The frame on the wall above the desk is black.,image77
what is the red and gray object in front of the mirror and close to the edge of the desk,The red and gray object in front of the mirror and close to the edge of the desk is deodorant.,image77
what is in the corner of the wall on the left sight of the blinds,A bookshelf is in the corner of the wall on the left side of the blinds.,image77
what is on the floor on the left side of the desk,A bicycle is on the floor on the left side of the desk.,image78
how many framed pictures are on the wall,There are two framed pictures on the wall.,image78
how many drawer knobs are in this picture,There are two drawer knobs in the picture.,image78
what color is the bed sheet below the blanket and pillows,The bed sheet is gray.,image79
what is the rectangular shaped object on the night stand on the right side of the bed,The rectangular-shaped object on the nightstand on the right side of the bed is a laptop.,image79
what is in the corner of the wall on the left side of the bookshelf,The hockey stick is in the corner of the wall on the left side of the bookshelf.,image80
what color is the hat on the top right of the bookshelf,The hat on the top right of the bookshelf is black and white.,image80
what color is the bookshelf in front of wall,The bookshelf in front of the wall is brown.,image80
how many knobs are in the first row of the drawers,There are five knobs in the first row of the drawers.,image82
what color is the blanket on the mattress,The blanket on the mattress is brown.,image82
what is on the top of the dresser close to the red deoderant,The box is on the top of the dresser close to the red deodorant.,image82
how many tables are in front of the bookshelf close to the ladder,There is one table in front of the bookshelf close to the ladder.,image84
what color are the bookshelves in this picture,The bookshelves in the picture are brown.,image84
how many ladders are in this picture,There is one ladder in the picture.,image87
what color are the bookshelves,The bookshelves are brown.,image87
what is the most frequent object in this picture,The most frequent object in the picture is a book.,image87
what colors are the backpacks in the store,"The backpacks in the store come in pink, purple, blue, and black.",image91
what is the red object on the white column,The red object on the white column is a fire alarm.,image91
what is in the cartons close to the notebooks,The cartons close to the notebooks contain the file_holder.,image93
what color is the lamp shade near the laptop on the table,The lamp shade near the laptop on the table is red.,image93
which object is made of glass and wood in this picture,The object in the picture that's made of glass and wood is the display case.,image93
what color is the wall behind the laptop and lampshade,The wall behind the laptop and lampshade is purple.,image93
what colors are the sweatshirts in front of the store,"The sweatshirts in front of the store are gray, blue, and black.",image95
what colors are the mugs in the shelf,"The mugs on the shelf are white, black, purple, and blue.",image97
what are the shelves made of,The shelves are made of glass.,image97
what colors are the sweatshirts,"The sweatshirts come in pink, blue, black, and white.",image99
how many shelves does the bookcase have on the left side of the sweatshirts,There are six shelves on the left side of the sweatshirts.,image99
how many steps does the step stool have,The step stool has three steps.,image104
what colors are the sticker notes on the shelves,The sticker notes on the shelves are pink and yellow.,image104
how many shelves does the bookcase have close to the step stool,The bookcase near the step stool has seven shelves.,image104
what is on the top of the monitor on the cash desk,A soft toy is on top of the monitor on the cash desk.,image114
how many lamps are above the cash desk in this picture,There are two lamps positioned above the cash desk visible in the picture.,image114
what is under the counter and behind the floor mat,Cooling element,image123
how many blackboards are in the picture,There are three blackboards in the picture.,image123
what is between the white mug and the paper cups on the counter,Ornamental plant,image124
what color is the counter,The counter is white and brown.,image124
what is on the cabinet in front of the dish rack,A casserole dish is on the cabinet in front of the dish rack.,image130
how many plates are in the dish rack,There are two plates in the dish rack.,image130
how many cabinets are above the sink and the dish rack,There are three cabinets positioned above the sink and the dish rack.,image130
how many tiers does the spice rack have,The spice rack has three tiers.,image133
what is hanging on the wall between the spice rack and the cabinet,A kitchen towel is hanging on the wall between the spice rack and the cabinet.,image133
what color is the cabinet above the sink,The cabinet above the sink is white.,image133
what is the electrical object on the cabinet,The electrical object on the cabinet is a blender.,image134
what is on the refridgerator door,The refrigerator door has a picture on it.,image134
what is above the oven on the wall,A microwave oven is above the oven on the wall.,image136
what is in the rack on the wall,The rack on the wall contains a spice bottle.,image136
what is the dish on the oven made of,The dish on the oven is made of aluminum foil.,image136
what color is the toaster oven on the top of the cabinet,The toaster oven on the top of the cabinet is white.,image139
what color is the salt shaker below the electrical outlet,The salt shaker below the electrical outlet is red.,image139
how many electrical objects are on the cabinet,There are two electrical objects on the cabinet.,image139
what is on the cabinet in front of the electrical kettle,The object on the cabinet in front of the electrical kettle is a vegetable peeler.,image140
what is in front of the oven rack,The faucet is in front of the oven rack.,image140
what is between the wall and the scissor on the right side of the sink,A pitcher is between the wall and the scissor on the right side of the sink.,image140
what is on the top of the oven,"cutting board, pot.",image145
how many knobs does the oven have,The oven has four knobs.,image145
what is on the cabinet on the left side of the pot,Toaster oven,image145
what is on the top of the fan coil,A book is on top of the fan coil.,image156
what is between the fan coil and the sofa,"tv_stand, television",image156
what is leaning against the wall in the corridor,The chair is leaning against the wall in the corridor.,image163
what is on the tv stand,DVDs are on the TV stand.,image163
what is in the wooden tv stand,A book is in the wooden TV stand.,image164
how many bowls are on the tv stand,There are two bowls on the TV stand.,image164
how many frames are on the wall,There is one frame on the wall.,image167
what is on the side table close to the magazines,An ashtray is on the side table close to the magazines.,image168
what is the glass object close to the side table,The glass object close to the side table is a vase.,image168
what color are the towels reflected in the mirror,The towels reflected in the mirror are blue.,image170
how many colors does the shower curtain have,The shower curtain has four colors.,image170
what is on the right side of the faucet,The item on the right side of the faucet is a bottle of hand wash liquid.,image170
what is the wooden object in front of the radiator,The wooden object in front of the radiator is a dresser.,image171
what is in the top shelf of the book case,The top shelf of the bookcase contains a book.,image171
what color is the armchair on the right side of the door way,The armchair on the right side of the doorway is brown.,image171
what is on the table between the dark brown armchairs,Paper and a book.,image172
what color is the carpet below the bed,The carpet below the bed is green.,image172
what is the largest black object in this picture,The largest black object in this picture is the television.,image177
how many pictures are on the wall around the television,There are three pictures on the wall around the television.,image177
what color is the ironing board on the right side of the picture,The ironing board on the right side of the picture is white.,image181
what is below the rolled blanket,A carton.,image181
what color is the shade of the table lamp close to the bookshelf,The shade of the table lamp close to the bookshelf is white.,image181
what is the black rectangular object on the mattress,The black rectangular object on the mattress is a remote control.,image183
how many black objects are on the bed,There are three black objects on the bed.,image183
how many bottles are on the top pf the bookcase,There are four bottles on top of the bookcase.,image187
how many lamps are on in this picture,There is one lamp on in the picture.,image187
what is below the television,A dresser is located below the television.,image192
what color is the dish washing sponge close to the sink,The dish washing sponge near the sink is approximately green and yellow in color.,image194
what are the wooden objects in this picture,"The picture contains a cabinet and a cutting board, both of which are made of wood.",image194
what color is the dish rack,The dish rack is black.,image194
which objects are around the sink,"The objects around the sink are a hair brush, a bottle of hand wash liquid, a toothbrush holder, a toothbrush, a faucet, and a faucet handle.",image195
what is reflected in the mirror,The shower curtain is reflected in the mirror.,image195
what is the largest object on the cabinet,The largest object on the cabinet is the flask.,image198
what is in the bottom row of the cabinet,The bottom row of the cabinet contains onions.,image198
what color is the pitcher close to the bowl,"The pitcher, which is near the bowl, is white in color.",image198
what is the yellow object close to the faucet,The yellow object close to the faucet is a dish brush.,image204
what color is the cutting board behind the dish rack,The cutting board behind the dish rack is white.,image204
how many electrical appliances are on the cabinet,There are two electrical appliances on the cabinet.,image205
what is on the cabinet behind the roll of paper towels and the can,The answer is a crock pot.,image206
how many kitchen towels are on the cabinet,There are two kitchen towels on the cabinet.,image206
what color is the doors of the cabinets,The doors of the cabinets are white.,image206
how many frames are on the wall of the kitchen,There are two frames hanging on the kitchen wall.,image207
what color is the kitchen towel hanging on the handle of the cabinet,The kitchen towel hanging on the handle of the cabinet is white.,image207
what is on the top of the bookshelf below the frame,A box is on top of the bookshelf below the frame.,image207
what is on the top shelf of the bookcase close to the face shape sculpture,A decorative candle is on the top shelf of the bookcase close to the face shape sculpture.,image207
what color is the chair in front of the desk,The chair in front of the desk is red.,image210
what is the gray object close to the white board,The gray object close to the whiteboard is a curtain.,image210
how many layers does the file holder on the desk have,The file holder on the desk has three layers.,image210
what is hanging from the ceiling above the table,Hanging from the ceiling above the table is a chandelier.,image223
what color is the column in the middle of the store,The column in the middle of the store is brown.,image223
what color are the mats on the table on the left side of the picture,The mats on the table on the left side of the picture are pink.,image225
what are the circle shape objects on the table on the right side of the picture,"Based on the original picture, the objects on the table on the right side that appear to be circle-shaped are in a box.",image234
what kind of containers are on the dark brown wall shelves,The containers on the dark brown wall shelves are vases.,image234
how many lamps are above the cash desk,There are two lamps above the cash desk.,image234
how many vases are on the coffee table in front of the light blue armchair,There are two vases on the coffee table in front of the light blue armchair.,image237
how many colors do the armchairs and their cushions have,The armchairs and their cushions come in a total of two colors.,image237
what colors do the stools around the table have,The stools surrounding the table are blue and white.,image239
what is leaning against the wall on the left side of the white cabinet,The ladder is leaning against the wall on the left side of the white cabinet.,image239
what color is the chandelier hanging from the ceiling,The chandelier hanging from the ceiling is black.,image245
what color is the pipe behind the room divider,The pipe behind the room divider is red.,image245
what is in the shelf on the right side of the room,The right shelf contains a decorative bowl.,image245
what color is the table below the black chandelier,The table below the black chandelier is white.,image249
how many cushions are on the black sofa,There are two cushions on the black sofa.,image249
how many larg frames are on the wall,There are two large frames on the wall.,image249
how many rows does the spice rack have,The spice rack has four rows.,image252
how many handles does the faucet have,The faucet has a single handle.,image252
how many remote controls are on the tv stand,There is one remote control on the TV stand.,image259
what are the black objects on the tv stand,The black objects on the TV stand are a television and a DVD player.,image259
how many high stools are in front of the kitchen counter,There are two high stools in front of the kitchen counter.,image263
what is on the right side of the kitchen counter close to the wall,The answer is a scale.,image263
what color is the tablecloth,The tablecloth is green.,image263
how many chairs are around the conference table in this picture,There are five chairs around the conference table in the picture.,image271
what is the red object in this picture,The red object in the picture is a fire alarm.,image273
what colors are the garbage bins close to the wall,The garbage bins close to the wall are white and blue.,image273
what color is the light above the door at the end of the room,The light above the door at the end of the room is pink.,image275
what is on the wall on the left side of the room,The wall on the left side of the room has a whiteboard.,image275
what is the largest blue object in this picture,The largest blue object in the picture is a table.,image276
how many toys are on the bed,There are three toys on the bed.,image280
what is on the floor and on the right side of the painting,A toy box is on the floor and on the right side of the painting.,image280
what color is the window shutter,The window shutter is white.,image280
what is the most colorful object in this picture,The most colorful object in the picture is the rug.,image285
what color is the chair on the carpet,The chair on the carpet is blue.,image285
what color are the circles in the picture below the whiteboard,The circles in the picture below the whiteboard are green.,image285
what color is the picture on the right side of the whiteboard,"The picture on the right side of the whiteboard is yellow, red, and orange.",image290
how many plastic toy containers are below the table in front of the wall,There are six plastic toy containers located below the table in front of the wall.,image292
what is covering the wall above the cabinet,A picture is covering the wall above the cabinet.,image292
what colors are the garbage bins,The garbage bins are blue and gray.,image292
what colors are the circles on the back of the chairs,The circles on the back of the chairs are green and yellow.,image294
what is on the right side of the desk on the floor,Trash can,image294
what is the round object at the end of the room in front of the blue boxes,The round object at the end of the room in front of the blue boxes is a globe.,image308
what color is the lamp shade on the desk,The lamp shade on the desk is red.,image308
what is hanging on the hangers on the right side of the room,Clothes inside a backpack.,image309
how many lamps are on the ceiling,There are two lamps on the ceiling.,image309
which objects are used in this room to show the world,The room uses a globe and a map to represent the world.,image309
how many chairs are around the green table,There are six chairs around the green table.,image317
what colors are the tables with the orange notebooks on them,The tables with the orange notebooks are yellow and green.,image317
what color are the children tshirtsg,The children's t-shirts are red.,image318
what color are the pencil holders on the table on the right side of the room,The pencil holders on the table on the right side of the room are green.,image318
what is on the brown board on the wall,The brown board on the wall has paper on it.,image318
what is the flower shaped object on the toy sofa,The flower-shaped object on the toy sofa is a pillow.,image325
which object has the circle shaped design,The rug has a circle-shaped design.,image325
what color is the water flask on the desk,The water flask on the desk is blue.,image334
how many monitors are off in this picture,There are four monitors that are not displaying anything in the image.,image334
what is the round object on the wall,The round object on the wall is a clock.,image336
how many computer mouses are in this picture,There are three computer mouses in the picture.,image336
what colors are the walls in this picture,The walls in the picture are yellow and white.,image339
what is the red object on the desk,The red object on the desk is a pen holder.,image360
what color is the window shutter,The window shutter is white.,image360
how many frames are on the desk,There is one frame on the desk.,image360
what is on the brown board on the desk,A paper and a picture.,image361
what is in the red mug on the desk,A pen and a pencil.,image361
what is the most frequent object in the room,The most frequent object in the room is a book.,image374
what is on the desk,"The desk contains a desk mat, paper, a book, and a napkin dispenser.",image374
what color is the frame in front of the bookshelf on the floor,The frame in front of the bookshelf on the floor is black.,image377
what color is the paper under the black frame on the floor,The paper under the black frame on the floor is pink.,image377
how many wall lamp shades are in the picture,There is one wall lamp shade visible in the picture.,image381
how many chairs are in front of the desk,There are two chairs positioned in front of the desk.,image383
what is on the desk,"On the desk, there is a book.",image384
what color is the wall behind the leather chair,The wall behind the leather chair is brown.,image384
how many white monitors are on the desk,There is one white monitor on the desk.,image389
what is on the left side of the desk close to a bunch of paper,"A printer is located on the left side of the desk, near a stack of paper.",image389
what color is the plastic bag on the desk,The plastic bag on the desk is white and red.,image390
how many white paper folders are on the desk,There are two white paper folders on the desk.,image390
how many frames are on the wall,There are four frames on the wall.,image396
what color are the blinds,The blinds are white.,image396
how many shelves are above the monitor,There are two shelves positioned above the monitor.,image396
what is on the right side of the bookshelf,"toy_house

 what is on the right side of the bookshelf

 A toy house is located on the right side of the bookshelf.",image400
how many toy chairs are on the floor,There are two toy chairs on the floor.,image402
what color is the plastic toy container on the toy chair,The plastic toy container on the toy chair is blue.,image402
what is the round object between the armchairs,An ottoman.,image403
what is behind the armchairs and ottoman,A railing is behind the armchairs and ottoman.,image403
what is in the corner of the wall close to the garbage bin,Water dispenser,image414
what color is the door of the garbage bin,The door of the garbage bin is black.,image414
what color are the chair seats around the table,The chair seats around the table are red.,image414
what is the largest blue object in this picture,The largest blue object in this picture is the water carboy.,image417
what color is the chair seat pad,The chair seat pad is black.,image417
what is the purple box on the table,The purple box on the table is a napkin dispenser.,image419
what color is the bed sheet,The bed sheet is blue.,image419
how many frames are on the wall close to the window,There are six frames displayed on the wall near the window.,image422
what is the black and white toy behind the foosball table on the floor,"A ball, specifically a black and white one.",image422
how many pairs of socks are on the toy table,There is one pair of socks on the toy table.,image424
what color is the kitchen counter,The kitchen counter is red.,image432
how many kitchen stools are in front of the kitchen counter,There are two kitchen stools positioned in front of the kitchen counter.,image432
what color is the circle shaped carpet below the stool,The circle-shaped carpet below the stool is red.,image432
what is between the two black chairs on the floor,A(n) ottoman is between the two black chairs on the floor.,image434
which decorative object is in this picture,The decorative object in the picture is a vase.,image434
what is on the door of the wardrobe,A mirror is on the door of the wardrobe.,image441
what color are the blinds,The blinds are white.,image441
how many pictures are on the wall on the right side of the window,There are two pictures on the wall to the right of the window.,image441
what is between the toy truck and the toy shelf,The doll house is between the toy truck and the toy shelf.,image443
what color is the plastic toy container close to the door way,The plastic toy container close to the doorway is blue.,image443
how many toy boxes are on the top of the toy shelf,There are two toy boxes on top of the toy shelf.,image443
how many doll houses are in the room,There are three doll houses in the room.,image444
what color is the stool close to the baby towel,The stool near the baby towel is black and white.,image444
what color is the door of the doll house in front of the wall behind the armchair,The door of the dollhouse in front of the wall behind the armchair is blue and red.,image444
what colors are the folding chairs,The folding chairs are green and yellow.,image445
what is the largest dark blue object in this picture,A sofa is the largest dark blue object in this picture.,image445
how many toy boxes are on the floor,There are two toy boxes on the floor.,image447
what is the yellow object on the floor on the right side of the toy box,The yellow object on the floor on the right side of the toy box is a chair.,image447
how many tape dispensers are on the cabinet below the brown board,There are three tape dispensers on the cabinet below the brown board.,image450
how many pens are on the counter,There are two pens on the counter.,image453
how many frames are hanging on the wall,There are three frames hanging on the wall.,image462
what colors are the carpet under the coffee table,"The carpet under the coffee table is black, brown, white, gray, and pink.",image462
how many doors does the bookshelf have,The bookshelf has four doors.,image472
what is the largest wooden object in this picture,The largest wooden object in the picture is a bookshelf.,image472
what is on the end table between the chairs,A book is on the end table between the chairs.,image478
how many four leg objects are in this picture,There are four objects in the picture that have four legs each.,image478
what is the largest black object in this picture,The largest black object in the picture is a sofa.,image488
what color is the side table on the left side of the sofa,The side table on the left side of the sofa is brown.,image488
how many electrical outlets are behind the lamp shade,There are two electrical outlets located behind the lampshade.,image488
how many white plastic boxes are close to the wall,There are three white plastic boxes near the wall.,image491
what is on the floor in front of the toilet,A floor mat is on the floor in front of the toilet.,image506
what is in the basket on the right side of the toilet,The basket on the right side of the toilet contains a magazine.,image506
what color is the bathroom mat on the floor,The bathroom mat on the floor is red.,image508
what is the shower door made of,The shower door is made of glass.,image508
what color is the frame of the window,The frame of the window is white.,image508
what kind of toothbrush is close to the sink,The electric toothbrush is close to the sink.,image509
what is on the left side of the faucet with black cap,The bottle of Listerine is on the left side of the faucet with the black cap.,image509
how many electric toothbrushes are close to the sink,There are three electric toothbrushes near the sink.,image509
what are the golden objects below the mirror,"Golden faucet, golden faucet handle.",image510
what color is the flower pattern on the glass on the right side of the faucet handle,The flower pattern on the glass on the right side of the faucet handle is white.,image510
what is on the left side of the sink,The left side of the sink holds a razor and toothpaste.,image511
what color is the frame of the mirror close to the wardrobe,The frame of the mirror near the wardrobe is white.,image515
how many pieces does the curtain have,The curtain is made up of two pieces.,image515
how many lamp shades are in front of the window,There are two lamp shades in front of the window.,image516
what color are the bed sheets,The bed sheets are red.,image516
what is on the desk close to the bookshelf,The answer is a book.,image517
what color is the bathrobe on the clothing drying rack,The bathrobe on the clothing drying rack is black.,image517
which electric home appliance is on the right side of the table,The electric home appliance on the right side of the table is a clothing iron.,image523
what is the blue object on the left side of the clothing iron,The blue object on the left side of the clothing iron is an ironing board.,image523
what color is the blind above the table,The blind above the table is white.,image523
which object has the colorful circle pattern,The bed sheets have the colorful circle pattern.,image525
how many drawers does the night stand have,The nightstand has two drawers.,image525
what colors do the circles of the bed sheet have,"The circles on the bed sheet are colored yellow, orange, black, and purple.",image526
what is the largest dark brown object in this picture,The largest dark brown object in the picture is a dresser.,image526
how many pillows are on the mattress,There are two pillows on the mattress.,image532
what is the green and blue object in this picture,The green and blue object in this picture is a blanket.,image532
what is on the left side of the mattress on the floor,Paper and a napkin dispenser are located to the left of the mattress on the floor.,image532
what color is the sheet on the mattress,The sheet on the mattress is green.,image534
